question,option,input_type,input_id,dependence,dependence_value,required
Qual seu Nome?,Sua resposta,text,q1,NA,NA,T
Qua seu gênero?,Masculino,mc,q2,NA,NA,T
Qua seu gênero?,Femino,mc,q2,NA,NA,T
Qua seu gênero?,Outro,mc,q2,NA,NA,T
Qual sua raça/cor?,Branco(a),mc,q3,NA,NA,T
Qual sua raça/cor?,Preto(a)/Pardo(a),mc,q3,NA,NA,T
Qual sua raça/cor?,Amarelo(a),mc,q3,NA,NA,T
Sua idade:,25,numeric,q4,NA,NA,T
Sua Renda familiar:,"Abaixo de R$ 1.000,00",mc,q5,NA,NA,T
Sua Renda familiar:,"De R$ 1.000,00 a R$ 1.999,00",mc,q5,NA,NA,T
Sua Renda familiar:,"De R$ 2.000,00 a 2.999,00",mc,q5,NA,NA,T
Sua Renda familiar:,"De R$ 3.000,00 a R$ 3.999,00",mc,q5,NA,NA,T
Sua Renda familiar:,"De R$ 4.000,00a R$ 4.999,00",mc,q5,NA,NA,T
Sua Renda familiar:,"De R$ 5.000,00 a 5.999,00",mc,q5,NA,NA,T
Sua Renda familiar:,"De R$ 6.000,00 a R$ 6.999,00",mc,q5,NA,NA,T
Sua Renda familiar:,"Igual ou acima de R$ 7.000,00",mc,q5,NA,NA,T
Sua escolaridade:,Sem escolaridade,mc,q6,NA,NA,T
Sua escolaridade:,Ensino fundamental incompleto,mc,q6,NA,NA,T
Sua escolaridade:,Ensino fundamental completo,mc,q6,NA,NA,T
Sua escolaridade:,Ensino médio incompleto,mc,q6,NA,NA,T
Sua escolaridade:,Ensino médio completo,mc,q6,NA,NA,T
Sua escolaridade:,Ensino superior incompleto,mc,q6,NA,NA,T
Sua escolaridade:,Ensino superior completo,mc,q6,NA,NA,T
"Em relação ao seu familiar que faz uso de droga, você é:",Mãe,mc,q7,NA,NA,T
"Em relação ao seu familiar que faz uso de droga, você é:",Pai,mc,q7,NA,NA,T
"Em relação ao seu familiar que faz uso de droga, você é:",Esposo(a)/companheiro(a),mc,q7,NA,NA,T
"Em relação ao seu familiar que faz uso de droga, você é:",Avô(ó),mc,q7,NA,NA,T
"Em relação ao seu familiar que faz uso de droga, você é:",Neto(a),mc,q7,NA,NA,T
"Em relação ao seu familiar que faz uso de droga, você é:",Tio(a),mc,q7,NA,NA,T
"Em relação ao seu familiar que faz uso de droga, você é:",Sobrinho(a),mc,q7,NA,NA,T
"Em relação ao seu familiar que faz uso de droga, você é:",Primo(a),mc,q7,NA,NA,T
"Em relação ao seu familiar que faz uso de droga, você é:",Padrato/Madrasta,mc,q7,NA,NA,T
"Em relação ao seu familiar que faz uso de droga, você é:",Filho(a),mc,q7,NA,NA,T
"Em relação ao seu familiar que faz uso de droga, você é:",Outro,mc,q7,NA,NA,T
"Em relação ao seu familiar que faz uso de droga, você é:",Sua resposta,text,q8,q7,Outro,F
Tipo(s) de droga(s) utilizada(s) pelo familiar,Álcool,mc,q9.0,NA,NA,F
Tipo(s) de droga(s) utilizada(s) pelo familiar,Anfetamina,mc,q9.0,NA,NA,F
Tipo(s) de droga(s) utilizada(s) pelo familiar,Cocaína,mc,q9.0,NA,NA,F
Tipo(s) de droga(s) utilizada(s) pelo familiar,Crack,mc,q9.0,NA,NA,F
Tipo(s) de droga(s) utilizada(s) pelo familiar,Êxtase,mc,q9.0,NA,NA,F
Tipo(s) de droga(s) utilizada(s) pelo familiar,Heroína,mc,q9.0,NA,NA,F
Tipo(s) de droga(s) utilizada(s) pelo familiar,LSD,mc,q9.0,NA,NA,F
Tipo(s) de droga(s) utilizada(s) pelo familiar,Maconha,mc,q9.0,NA,NA,F
Tipo(s) de droga(s) utilizada(s) pelo familiar,Tabaco,mc,q9.0,NA,NA,F
Tipo(s) de droga(s) utilizada(s) pelo familiar,Outro.,mc,q9.0,NA,NA,F
Tipo(s) de droga(s) utilizada(s) pelo familiar,"Caso o familiar utilize mais de uma droga, especifique aqui:",text,q9.0.1,q9.0,Outro.,F
ESCALA DE ESTIGMA DE CORTESIA ENTRE FAMILIARES DE USUÁRIOS DE DROGAS( ECOFAD),Discordo totalmente (1),matrix,q9.0.2,NA,NA,F
ESCALA DE ESTIGMA DE CORTESIA ENTRE FAMILIARES DE USUÁRIOS DE DROGAS( ECOFAD),Discordo Parcialmente (2),matrix,q9.0.2,NA,NA,F
ESCALA DE ESTIGMA DE CORTESIA ENTRE FAMILIARES DE USUÁRIOS DE DROGAS( ECOFAD),Nem concordo nem discordo (3),matrix,q9.0.2,NA,NA,F
ESCALA DE ESTIGMA DE CORTESIA ENTRE FAMILIARES DE USUÁRIOS DE DROGAS( ECOFAD),Concordo parcialmente (4),matrix,q9.0.2,NA,NA,F
ESCALA DE ESTIGMA DE CORTESIA ENTRE FAMILIARES DE USUÁRIOS DE DROGAS( ECOFAD),Concordo totalmente (5),matrix,q9.0.2,NA,NA,F
Eu me preocuparia se as pessoas descobrissem que eu tenho um familiar que faz uso de drogas,Discordo totalmente (1),matrix,q9,NA,NA,T
Eu me preocuparia se as pessoas descobrissem que eu tenho um familiar que faz uso de drogas,Discordo Parcialmente (2),matrix,q9,NA,NA,T
Eu me preocuparia se as pessoas descobrissem que eu tenho um familiar que faz uso de drogas,Nem concordo nem discordo (3),matrix,q9,NA,NA,T
Eu me preocuparia se as pessoas descobrissem que eu tenho um familiar que faz uso de drogas,Concordo parcialmente (4),matrix,q9,NA,NA,T
Eu me preocuparia se as pessoas descobrissem que eu tenho um familiar que faz uso de drogas,Concordo totalmente (5),matrix,q9,NA,NA,T
"Eu tenho receio de ser rejeitado pelas pessoas no meu trabalho, se elas descorirem que eu tenho um familiar que faz uso de drogas",Discordo totalmente (1),matrix,q10,NA,NA,T
"Eu tenho receio de ser rejeitado pelas pessoas no meu trabalho, se elas descorirem que eu tenho um familiar que faz uso de drogas",Discordo Parcialmente (2),matrix,q10,NA,NA,T
"Eu tenho receio de ser rejeitado pelas pessoas no meu trabalho, se elas descorirem que eu tenho um familiar que faz uso de drogas",Nem concordo nem discordo (3),matrix,q10,NA,NA,T
"Eu tenho receio de ser rejeitado pelas pessoas no meu trabalho, se elas descorirem que eu tenho um familiar que faz uso de drogas",Concordo parcialmente (4),matrix,q10,NA,NA,T
"Eu tenho receio de ser rejeitado pelas pessoas no meu trabalho, se elas descorirem que eu tenho um familiar que faz uso de drogas",Concordo totalmente (5),matrix,q10,NA,NA,T
Eu me sinto inferir as outras pessoas por ter um familiar usuário de drogas,Discordo totalmente (1),matrix,q11,NA,NA,T
Eu me sinto inferir as outras pessoas por ter um familiar usuário de drogas,Discordo Parcialmente (2),matrix,q11,NA,NA,T
Eu me sinto inferir as outras pessoas por ter um familiar usuário de drogas,Nem concordo nem discordo (3),matrix,q11,NA,NA,T
Eu me sinto inferir as outras pessoas por ter um familiar usuário de drogas,Concordo parcialmente (4),matrix,q11,NA,NA,T
Eu me sinto inferir as outras pessoas por ter um familiar usuário de drogas,Concordo totalmente (5),matrix,q11,NA,NA,T
Eu me sinto chateado por ter um familiar que faz uso de drogas,Discordo totalmente (1),matrix,q12,NA,NA,T
Eu me sinto chateado por ter um familiar que faz uso de drogas,Discordo Parcialmente (2),matrix,q12,NA,NA,T
Eu me sinto chateado por ter um familiar que faz uso de drogas,Nem concordo nem discordo (3),matrix,q12,NA,NA,T
Eu me sinto chateado por ter um familiar que faz uso de drogas,Concordo parciallmente (4),matrix,q12,NA,NA,T
Eu me sinto chateado por ter um familiar que faz uso de drogas,Concordo totalmente (5),matrix,q12,NA,NA,T
Eu me sinto envergonhado por ter um familiar que faz uso de drogas,Discordo totalmente (1),matrix,q13,NA,NA,T
Eu me sinto envergonhado por ter um familiar que faz uso de drogas,Discordo Parcialmente (2),matrix,q13,NA,NA,T
Eu me sinto envergonhado por ter um familiar que faz uso de drogas,Nem concordo nem discordo (3),matrix,q13,NA,NA,T
Eu me sinto envergonhado por ter um familiar que faz uso de drogas,Concordo parcialmente (4),matrix,q13,NA,NA,T
Eu me sinto envergonhado por ter um familiar que faz uso de drogas,Concordo totalmente (5),matrix,q13,NA,NA,T
Eu me sinto desanimado por ter um familiar que faz uso de drogas,Discordo totalmente (1),matrix,q14,NA,NA,T
Eu me sinto triste por ter um familiar que faz uso de drogas,Discordo Totalmente (1),matrix,q14,NA,NA,T
Eu me sinto triste por ter um familiar que faz uso de drogas,Discordo Parcialmente (2),matrix,q14,NA,NA,T
Eu me sinto triste por ter um familiar que faz uso de drogas,Nem concordo nem discordo (3),matrix,q14,NA,NA,T
Eu me sinto triste por ter um familiar que faz uso de drogas,Concordo parcialmente (4),matrix,q14,NA,NA,T
Eu me sinto triste por ter um familiar que faz uso de drogas,Concordo totalmente (5),matrix,q14,NA,NA,T
Eu me sinto muito pressionado por ter um familiar que faz uso de drogas,Discordo totalmente (1),matrix,q15,NA,NA,T
Eu me sinto muito pressionado por ter um familiar que faz uso de drogas,Discordo Parcialmente (2),matrix,q15,NA,NA,T
Eu me sinto muito pressionado por ter um familiar que faz uso de drogas,Nem concordo nem discordo (3),matrix,q15,NA,NA,T
Eu me sinto muito pressionado por ter um familiar que faz uso de drogas,Concordo parciallmente (4),matrix,q15,NA,NA,T
Eu me sinto muito pressionado por ter um familiar que faz uso de drogas,Concordo totalmente (5),matrix,q15,NA,NA,T
Eu me sinto muito culpado por ter um familiar que faz uso de drogas,Discordo totalmente (1),matrix,q16,NA,NA,T
Eu me sinto muito culpado por ter um familiar que faz uso de drogas,Discordo Parcialmente (2),matrix,q16,NA,NA,T
Eu me sinto muito culpado por ter um familiar que faz uso de drogas,Nem concordo nem discordo (3),matrix,q16,NA,NA,T
Eu me sinto muito culpado por ter um familiar que faz uso de drogas,Concordo parciallmente (4),matrix,q16,NA,NA,T
Eu me sinto muito culpado por ter um familiar que faz uso de drogas,Concordo totalmente (5),matrix,q16,NA,NA,T
Eu me sinto fracassado por ter um familiar que faz uso de drogas,Discordo totalmente (1),matrix,q17,NA,NA,T
Eu me sinto fracassado por ter um familiar que faz uso de drogas,Discordo Parcialmente (2),matrix,q17,NA,NA,T
Eu me sinto fracassado por ter um familiar que faz uso de drogas,Nem concordo nem discordo (3),matrix,q17,NA,NA,T
Eu me sinto fracassado por ter um familiar que faz uso de drogas,Concordo parciallmente (4),matrix,q17,NA,NA,T
Eu me sinto fracassado por ter um familiar que faz uso de drogas,Concordo totalmente (5),matrix,q17,NA,NA,T
Eu me sofro discriminação por ter um familiar que faz uso de drogas,Discordo totalmente (1),matrix,q18,NA,NA,T
Eu me sofro discriminação por ter um familiar que faz uso de drogas,Discordo Parcialmente (2),matrix,q18,NA,NA,T
Eu me sofro discriminação por ter um familiar que faz uso de drogas,Nem concordo nem discordo (3),matrix,q18,NA,NA,T
Eu me sofro discriminação por ter um familiar que faz uso de drogas,Concordo parciallmente (4),matrix,q18,NA,NA,T
Eu me sofro discriminação por ter um familiar que faz uso de drogas,Concordo totalmente (5),matrix,q18,NA,NA,T
A minha reputação está prejudicada por eu ter um familiar que faz uso de drogas,Discordo totalmente (1),matrix,q19,NA,NA,T
A minha reputação está prejudicada por eu ter um familiar que faz uso de drogas,Discordo Parcialmente (2),matrix,q19,NA,NA,T
A minha reputação está prejudicada por eu ter um familiar que faz uso de drogas,Nem concordo nem discordo (3),matrix,q19,NA,NA,T
A minha reputação está prejudicada por eu ter um familiar que faz uso de drogas,Concordo parcialmente (4),matrix,q19,NA,NA,T
A minha reputação está prejudicada por eu ter um familiar que faz uso de drogas,Concordo totalmente (5),matrix,q19,NA,NA,T
Ter um familiar que faz uso de drogas me faz pensar que sou incompetente em comparação as outras pessoas,Discordo totalmente (1),matrix,q20,NA,NA,T
Ter um familiar que faz uso de drogas me faz pensar que sou incompetente em comparação as outras pessoas,Discordo Parcialmente (2),matrix,q20,NA,NA,T
Ter um familiar que faz uso de drogas me faz pensar que sou incompetente em comparação as outras pessoas,Nem concordo nem discordo (3),matrix,q20,NA,NA,T
Ter um familiar que faz uso de drogas me faz pensar que sou incompetente em comparação as outras pessoas,Concordo parcialmente (4),matrix,q20,NA,NA,T
Ter um familiar que faz uso de drogas me faz pensar que sou incompetente em comparação as outras pessoas,Concordo totalmente (5),matrix,q20,NA,NA,T
As pessoas acham que a família é responsável pelos comportamentos do usuário de drogas,Discordo totalmente (1),matrix,q21,NA,NA,T
As pessoas acham que a família é responsável pelos comportamentos do usuário de drogas,Discordo Parcialmente (2),matrix,q21,NA,NA,T
As pessoas acham que a família é responsável pelos comportamentos do usuário de drogas,Nem concordo nem discordo (3),matrix,q21,NA,NA,T
As pessoas acham que a família é responsável pelos comportamentos do usuário de drogas,Concordo parcialmente (4),matrix,q21,NA,NA,T
As pessoas acham que a família é responsável pelos comportamentos do usuário de drogas,Concordo totalmente (5),matrix,q21,NA,NA,T
"As pessoas se preocupam com minha segurança, quando descobrem que eu teho um familiar que faz uso de drogas",Discordo totalmente (1),matrix,q22,NA,NA,T
"As pessoas se preocupam com minha segurança, quando descobrem que eu teho um familiar que faz uso de drogas",Discordo Parcialmente (2),matrix,q22,NA,NA,T
"As pessoas se preocupam com minha segurança, quando descobrem que eu teho um familiar que faz uso de drogas",Nem concordo nem discordo (3),matrix,q22,NA,NA,T
"As pessoas se preocupam com minha segurança, quando descobrem que eu teho um familiar que faz uso de drogas",Concordo parcialmente (4),matrix,q22,NA,NA,T
"As pessoas se preocupam com minha segurança, quando descobrem que eu teho um familiar que faz uso de drogas",Concordo totalmente (5),matrix,q22,NA,NA,T
"As pessoas consideram que os usuários de drogas não melhoram no tratamento, e isto deve causar tristeza aos familiares",Discordo totalmente (1),matrix,q23,NA,NA,T
"As pessoas consideram que os usuários de drogas não melhoram no tratamento, e isto deve causar tristeza aos familiares",Discordo Parcialmente (2),matrix,q23,NA,NA,T
"As pessoas consideram que os usuários de drogas não melhoram no tratamento, e isto deve causar tristeza aos familiares",Nem concordo nem discordo (3),matrix,q23,NA,NA,T
"As pessoas consideram que os usuários de drogas não melhoram no tratamento, e isto deve causar tristeza aos familiares",Concordo parcialmente (4),matrix,q23,NA,NA,T
"As pessoas consideram que os usuários de drogas não melhoram no tratamento, e isto deve causar tristeza aos familiares",Concordo totalmente (5),matrix,q23,NA,NA,T
Familiares de usuários de drogas são considerados pela mídia como pessoas com desvio de caráter,Discordo totalmente (1),matrix,q24,NA,NA,T
Familiares de usuários de drogas são considerados pela mídia como pessoas com desvio de caráter,Discordo Parcialmente (2),matrix,q24,NA,NA,T
Familiares de usuários de drogas são considerados pela mídia como pessoas com desvio de caráter,Nem concordo nem discordo (3),matrix,q24,NA,NA,T
Familiares de usuários de drogas são considerados pela mídia como pessoas com desvio de caráter,Concordo parcialmente (4),matrix,q24,NA,NA,T
Familiares de usuários de drogas são considerados pela mídia como pessoas com desvio de caráter,Concordo totalmente (5),matrix,q24,NA,NA,T
As pessoas não estão dispostas a cuidar de um membbro na família que faz uso de drogas,Discordo totalmente (1),matrix,q25,NA,NA,T
As pessoas não estão dispostas a cuidar de um membbro na família que faz uso de drogas,Discordo Parcialmente (2),matrix,q25,NA,NA,T
As pessoas não estão dispostas a cuidar de um membbro na família que faz uso de drogas,Nem concordo nem discordo (3),matrix,q25,NA,NA,T
As pessoas não estão dispostas a cuidar de um membbro na família que faz uso de drogas,Concordo parcialmente (4),matrix,q25,NA,NA,T
As pessoas não estão dispostas a cuidar de um membbro na família que faz uso de drogas,Concordo totalmente (5),matrix,q25,NA,NA,T
As pessoas acham que filhos de pais que usam drogas não deveriam ir à escola,Discordo totalmente (1),matrix,q26,NA,NA,T
As pessoas acham que filhos de pais que usam drogas não deveriam ir à escola,Discordo Parcialmente (2),matrix,q26,NA,NA,T
As pessoas acham que filhos de pais que usam drogas não deveriam ir à escola,Nem concordo nem discordo (3),matrix,q26,NA,NA,T
As pessoas acham que filhos de pais que usam drogas não deveriam ir à escola,Concordo parcialmente (4),matrix,q26,NA,NA,T
As pessoas acham que filhos de pais que usam drogas não deveriam ir à escola,Concordo totalmente (5),matrix,q26,NA,NA,T
As pessoas não se casariam com alguém que tenha uma pessoa que faz uso de drogas na família,Discordo totalmente (1),matrix,q27,NA,NA,T
As pessoas não se casariam com alguém que tenha uma pessoa que faz uso de drogas na família,Discordo Parcialmente (2),matrix,q27,NA,NA,T
As pessoas não se casariam com alguém que tenha uma pessoa que faz uso de drogas na família,Nem concordo nem discordo (3),matrix,q27,NA,NA,T
As pessoas não se casariam com alguém que tenha uma pessoa que faz uso de drogas na família,Concordo parcialmente (4),matrix,q27,NA,NA,T
As pessoas não se casariam com alguém que tenha uma pessoa que faz uso de drogas na família,Concordo totalmente (5),matrix,q27,NA,NA,T
Pais vão querer manter seus filhos longe das crianças que têm familiares que fazem uso de drogas,Discordo totalmente (1),matrix,q28,NA,NA,T
Pais vão querer manter seus filhos longe das crianças que têm familiares que fazem uso de drogas,Discordo Parcialmente (2),matrix,q28,NA,NA,T
Pais vão querer manter seus filhos longe das crianças que têm familiares que fazem uso de drogas,Nem concordo nem discordo (3),matrix,q28,NA,NA,T
Pais vão querer manter seus filhos longe das crianças que têm familiares que fazem uso de drogas,Concordo parcialmente (4),matrix,q28,NA,NA,T
Pais vão querer manter seus filhos longe das crianças que têm familiares que fazem uso de drogas,Concordo totalmente (5),matrix,q28,NA,NA,T
As pessoas frequentemente me tratam com ar de superioridade por eu ter um familiar que faz uso de drogas,Discordo totalmente (1),matrix,q29,NA,NA,T
As pessoas frequentemente me tratam com ar de superioridade por eu ter um familiar que faz uso de drogas,Discordo Parcialmente (2),matrix,q29,NA,NA,T
As pessoas frequentemente me tratam com ar de superioridade por eu ter um familiar que faz uso de drogas,Nem concordo nem discordo (3),matrix,q29,NA,NA,T
As pessoas frequentemente me tratam com ar de superioridade por eu ter um familiar que faz uso de drogas,Concordo parcialmente (4),matrix,q29,NA,NA,T
As pessoas frequentemente me tratam com ar de superioridade por eu ter um familiar que faz uso de drogas,Concordo totalmente (5),matrix,q29,NA,NA,T
Ninguém gostaria de se aproximar de mim porque eu tenho um familiar que faz uso de drogas,Discordo totalmente (1),matrix,q30,NA,NA,T
Ninguém gostaria de se aproximar de mim porque eu tenho um familiar que faz uso de drogas,Discordo Parcialmente (2),matrix,q30,NA,NA,T
Ninguém gostaria de se aproximar de mim porque eu tenho um familiar que faz uso de drogas,Nem concordo nem discordo (3),matrix,q30,NA,NA,T
Ninguém gostaria de se aproximar de mim porque eu tenho um familiar que faz uso de drogas,Concordo parcialmente (4),matrix,q30,NA,NA,T
Ninguém gostaria de se aproximar de mim porque eu tenho um familiar que faz uso de drogas,Concordo totalmente (5),matrix,q30,NA,NA,T
As pessoas não me levam a sério por eu ter um familiar que faz uso de drofas,Discordo totalmente (1),matrix,q31,NA,NA,T
As pessoas não me levam a sério por eu ter um familiar que faz uso de drofas,Discordo Parcialmente (2),matrix,q31,NA,NA,T
As pessoas não me levam a sério por eu ter um familiar que faz uso de drofas,Nem concordo nem discordo (3),matrix,q31,NA,NA,T
As pessoas não me levam a sério por eu ter um familiar que faz uso de drofas,Concordo parcialmente (4),matrix,q31,NA,NA,T
As pessoas não me levam a sério por eu ter um familiar que faz uso de drofas,Concordo totalmente (5),matrix,q31,NA,NA,T
"Por eu ter um familiar que faz uso de drogas, eu acho que as pessoas não percebem minhas qualidades",Discordo totalmente (1),matrix,q32,NA,NA,T
"Por eu ter um familiar que faz uso de drogas, eu acho que as pessoas não percebem minhas qualidades",Discordo Parcialmente (2),matrix,q32,NA,NA,T
"Por eu ter um familiar que faz uso de drogas, eu acho que as pessoas não percebem minhas qualidades",Nem concordo nem discordo (3),matrix,q32,NA,NA,T
"Por eu ter um familiar que faz uso de drogas, eu acho que as pessoas não percebem minhas qualidades",Concordo parcialmente (4),matrix,q32,NA,NA,T
"Por eu ter um familiar que faz uso de drogas, eu acho que as pessoas não percebem minhas qualidades",Concordo totalmente (5),matrix,q32,NA,NA,T
Eu sofro impactos negativos por ter um familiar que faz uso de drogas,Discordo totalmente (1),matrix,q33,NA,NA,T
Eu sofro impactos negativos por ter um familiar que faz uso de drogas,Discordo Parcialmente (2),matrix,q33,NA,NA,T
Eu sofro impactos negativos por ter um familiar que faz uso de drogas,Nem concordo nem discordo (3),matrix,q33,NA,NA,T
Eu sofro impactos negativos por ter um familiar que faz uso de drogas,Concordo parcialmente (4),matrix,q33,NA,NA,T
Eu sofro impactos negativos por ter um familiar que faz uso de drogas,Concordo totalmente (5),matrix,q33,NA,NA,T
Familiares de usuários de drogas não têm uma vida boa e tranquila ,Discordo totalmente (1),matrix,q34,NA,NA,T
Familiares de usuários de drogas não têm uma vida boa e tranquila ,Discordo Parcialmente (2),matrix,q34,NA,NA,T
Familiares de usuários de drogas não têm uma vida boa e tranquila ,Nem concordo nem discordo (3),matrix,q34,NA,NA,T
Familiares de usuários de drogas não têm uma vida boa e tranquila ,Concordo parcialmente (4),matrix,q34,NA,NA,T
Familiares de usuários de drogas não têm uma vida boa e tranquila ,Concordo totalmente (5),matrix,q34,NA,NA,T
Minha vida foi estragada por eu ter um familiar que faz uso de drogas,Discordo totalmente (1),matrix,q35,NA,NA,T
Minha vida foi estragada por eu ter um familiar que faz uso de drogas,Discordo Parcialmente (2),matrix,q35,NA,NA,T
